"LST_DATE","LST_TIME","T_MAX","P_CALC"
20170205,1900,10.2,0
20170205,2000,7.3,0
20170205,2100,7.2,0
20170205,2200,6.4,0
20170205,2300,7.2,0
20170206,0,6.3,0
20170206,100,5.3,0
20170206,200,5.4,0
20170206,300,5.2,0
20170206,400,4.9,0
20170206,500,3.7,0
20170206,600,2.1,0
20170206,700,2.4,0
20170206,800,2.1,0
20170206,900,8.1,0
20170206,1000,11.9,0
20170206,1100,14.4,0
20170206,1200,16,0
20170206,1300,17.2,0
20170206,1400,19.1,0
20170206,1500,19.6,0
20170206,1600,19.6,0
20170206,1700,19.2,0
20170206,1800,18.1,0
20170206,1900,14.9,0
20170206,2000,13.1,0
20170206,2100,13.9,0
20170206,2200,13.1,0
20170206,2300,12.2,0
20170207,0,12.2,0
20170207,100,13.2,0
20170207,200,13.7,0
20170207,300,13.1,0
20170207,400,11.2,0
20170207,500,10.6,0
20170207,600,10.7,0
20170207,700,10.8,0
20170207,800,11.2,0
20170207,900,13.6,0
20170207,1000,16.3,0
20170207,1100,18.3,0
20170207,1200,20.8,0
20170207,1300,21.4,0
20170207,1400,22.9,0
20170207,1500,22.9,0
20170207,1600,22.7,0
20170207,1700,22.2,0
20170207,1800,21.3,0
20170207,1900,20.3,0
20170207,2000,19.7,0
20170207,2100,18.7,0
20170207,2200,18.3,0
20170207,2300,17.9,0
20170208,0,17.4,0.6
20170208,100,15,0.3
20170208,200,14.5,0
20170208,300,14.2,1.5
20170208,400,13.6,0.4
20170208,500,13.3,0
20170208,600,13.2,0
20170208,700,12.3,0
20170208,800,12.4,0
20170208,900,14,0
20170208,1000,16.4,0
20170208,1100,19.5,0
20170208,1200,20.9,0
20170208,1300,21.5,0
20170208,1400,22.1,0
20170208,1500,22.4,0
20170208,1600,22,0
20170208,1700,20.5,0
20170208,1800,19.3,0
20170208,1900,17,0
20170208,2000,16.2,0
20170208,2100,16.3,0
20170208,2200,16.2,0
20170208,2300,15.9,0
20170209,0,13.9,0.4
20170209,100,11.7,7.4
20170209,200,12,0
20170209,300,14.6,3.4
20170209,400,14.5,3.4
20170209,500,13.5,0
20170209,600,12.7,0
20170209,700,11.5,0
20170209,800,9.9,0
20170209,900,7.2,0
20170209,1000,7.3,0
20170209,1100,7.6,0
20170209,1200,8.2,0
20170209,1300,8.1,0
20170209,1400,8.9,0
20170209,1500,8.7,0
20170209,1600,7.7,0
20170209,1700,6.9,0
20170209,1800,6,0
20170209,1900,4.4,0
20170209,2000,3.1,0
20170209,2100,1.6,0
20170209,2200,0.7,0
20170209,2300,-0.3,0
20170210,0,-0.6,0
20170210,100,-1.2,0
20170210,200,-1.8,0
20170210,300,-2.2,0
20170210,400,-2.2,0
20170210,500,-3.2,0
20170210,600,-3.4,0
20170210,700,-2.8,0
20170210,800,-2.1,0
20170210,900,-0.5,0
20170210,1000,1.8,0
20170210,1100,4.6,0
20170210,1200,5.8,0
20170210,1300,6.4,0
20170210,1400,7.7,0
20170210,1500,7.8,0
20170210,1600,8.4,0
20170210,1700,9.1,0
20170210,1800,8.7,0
20170210,1900,6.5,0
20170210,2000,6.2,0
20170210,2100,6.2,0
20170210,2200,6.4,0
20170210,2300,6.5,0
20170211,0,6.4,0
20170211,100,6,0
20170211,200,6,0
20170211,300,5.5,0
20170211,400,5.3,0
20170211,500,5.2,0
20170211,600,5.1,0
20170211,700,6,0
20170211,800,6.9,0
20170211,900,9.9,0
20170211,1000,13,0
20170211,1100,16,0
20170211,1200,18.9,0
20170211,1300,20.8,0
20170211,1400,21.7,0
20170211,1500,22,0
20170211,1600,22.7,0
20170211,1700,22.1,0
20170211,1800,21.2,0
20170211,1900,20.5,0
20170211,2000,19.5,0
20170211,2100,18.9,0
20170211,2200,18.8,0
20170211,2300,18.2,0
20170212,0,17.9,0
20170212,100,17.7,0
20170212,200,16.8,0
20170212,300,16.2,0
20170212,400,16.2,0
20170212,500,16.6,0
20170212,600,16.5,0
20170212,700,15.6,0
20170212,800,15.4,0
20170212,900,17.8,0
20170212,1000,20,0
20170212,1100,22.7,0
20170212,1200,24.6,0
20170212,1300,25.8,0
20170212,1400,27.1,0
20170212,1500,27.2,0
20170212,1600,27.5,0
20170212,1700,26.8,0
20170212,1800,25.6,0.2
20170212,1900,23.5,1.1
20170212,2000,20.4,0
20170212,2100,21.5,0
20170212,2200,21,0
20170212,2300,19.1,0
20170213,0,17.7,0
20170213,100,16.2,0
20170213,200,14.1,0
20170213,300,12.5,0
20170213,400,11.7,0
20170213,500,10.3,0
20170213,600,9.1,0
20170213,700,7.5,0
20170213,800,6.5,0
20170213,900,7.7,0
20170213,1000,8.7,0
20170213,1100,9.7,0
20170213,1200,10.8,0
20170213,1300,12.2,0
20170213,1400,13.5,0
20170213,1500,14.2,0
20170213,1600,14.7,0
20170213,1700,14.2,0
20170213,1800,13.5,0
20170213,1900,10.5,0
20170213,2000,7.8,0
20170213,2100,6.8,0
20170213,2200,7.1,0
20170213,2300,6.7,0
20170214,0,5.1,0
20170214,100,6,0
20170214,200,5.6,0
20170214,300,3.9,0
20170214,400,0.7,0
20170214,500,0.2,0
20170214,600,-0.8,0
20170214,700,-1.5,0
20170214,800,-0.6,0
20170214,900,5.7,0
20170214,1000,8.5,0
20170214,1100,10.6,0
20170214,1200,13.1,0
20170214,1300,15.1,0
20170214,1400,16.3,0
20170214,1500,16.7,0
20170214,1600,16.8,0
20170214,1700,16,0
20170214,1800,15.4,0
20170214,1900,14.4,0
20170214,2000,12.4,0
20170214,2100,11.5,0
20170214,2200,11.1,0
20170214,2300,10.9,0
20170215,0,10.3,0
20170215,100,10.2,0
20170215,200,9.4,0
20170215,300,9.7,0
20170215,400,8.8,0
20170215,500,9.3,0
20170215,600,9.4,0
20170215,700,9.3,0
20170215,800,9.1,0
20170215,900,8.5,3.2
20170215,1000,6.8,2.6
